Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,29.91,29.92,29.44,29.86,29.86,915895.0
2016-01-05,29.87,29.92,29.42,29.6,29.6,1194383.0
2016-01-06,29.13,29.28,28.74,28.85,28.85,1209138.0
2016-01-07,28.42,28.79,28.05,28.2,28.2,1982313.0
2016-01-08,28.32,28.3399,27.68,27.72,27.72,1310767.0
2016-01-11,27.82,27.91,27.32,27.69,27.69,1165450.0
2016-01-12,28.08,28.08,27.49,27.96,27.96,837044.0
2016-01-13,28.19,28.32,27.45,27.51,27.51,1061081.0
2016-01-14,27.57,28.12,27.2301,27.83,27.83,988719.0
2016-01-15,27.1,27.32,26.63,27.14,27.14,1173936.0
2016-01-19,27.47,27.5,26.84,27.35,27.35,1291409.0
2016-01-20,26.92,27.71,26.44,27.46,27.46,1549699.0
2016-01-21,27.58,27.66,26.88,27.15,27.15,1297467.0
2016-01-22,27.59,27.99,27.23,27.58,27.58,1112629.0
2016-01-25,27.54,27.66,27.06,27.14,27.14,1110975.0
2016-01-26,27.25,28.08,27.25,27.93,27.93,893421.0
2016-01-27,27.8,27.88,27.12,27.15,27.15,705842.0
2016-01-28,27.37,27.72,27.0,27.68,27.68,1152648.0
2016-01-29,27.86,28.36,27.73,28.2,28.2,1859972.0
2016-02-01,28.02,28.47,27.93,28.32,28.32,987116.0
2016-02-02,27.92,28.01,27.62,27.82,27.82,946473.0
2016-02-03,28.03,28.06,27.23,27.58,27.58,1206431.0
2016-02-04,27.58,28.39,27.58,28.32,28.32,885943.0
2016-02-05,28.24,28.505,27.67,27.74,27.74,1316218.0
2016-02-08,27.43,27.43,26.77,27.34,27.34,1317328.0
2016-02-09,27.06,27.63,26.9403,27.39,27.39,1265609.0
2016-02-10,27.56,28.36,27.429,28.02,28.02,851545.0
2016-02-11,27.62,27.73,26.87,27.18,27.18,1139450.0
2016-02-12,27.49,27.97,27.32,27.8,27.8,850066.0
2016-02-16,28.18,29.44,28.18,29.42,29.42,1178604.0
2016-02-17,29.55,30.18,29.51,29.65,29.65,2147488.0
2016-02-18,35.85,36.5,35.73,36.34,36.34,27356825.0
2016-02-19,36.01,36.38,35.6,36.31,36.31,7534306.0
2016-02-22,36.17,36.36,35.85,35.92,35.92,7136909.0
2016-02-23,35.77,35.95,35.655,35.73,35.73,5710279.0
2016-02-24,35.68,35.92,35.55,35.82,35.82,2698258.0
2016-02-25,35.75,35.91,35.64,35.83,35.83,2457178.0
2016-02-26,35.81,35.89,35.61,35.67,35.67,3275345.0
2016-02-29,35.5,35.89,35.4225,35.8,35.8,2734125.0
2016-03-01,35.99,36.12,35.81,35.96,35.96,2607223.0
2016-03-02,35.9,36.14,35.88,36.13,36.13,2406855.0
2016-03-03,36.11,36.23,35.98,36.01,36.01,2195314.0
2016-03-04,36.1,36.535,36.07,36.53,36.53,1778262.0
2016-03-07,36.42,36.66,36.4,36.5,36.5,1883746.0
2016-03-08,36.44,36.5,36.225,36.27,36.27,1732632.0
2016-03-09,36.35,36.45,36.08,36.23,36.23,1710855.0
2016-03-10,36.3,36.43,36.01,36.29,36.29,1373569.0
2016-03-11,36.42,36.47,36.04,36.19,36.19,2391024.0
2016-03-14,36.15,36.35,36.06,36.16,36.16,1071147.0
2016-03-15,36.09,36.2,35.99,36.17,36.17,1744136.0
2016-03-16,36.1,36.22,36.0299,36.11,36.11,1751952.0
2016-03-17,36.13,36.25,36.04,36.24,36.24,1757314.0
2016-03-18,36.24,36.52,36.19,36.35,36.35,3556284.0
2016-03-21,36.36,36.47,36.24,36.45,36.45,2173267.0
2016-03-22,36.47,36.5,36.3,36.37,36.37,1327322.0
2016-03-23,36.33,36.41,36.26,36.33,36.33,1300051.0
2016-03-24,36.25,36.36,36.1,36.19,36.19,1380531.0
2016-03-28,36.22,36.39,36.15,36.26,36.26,1528986.0
2016-03-29,36.21,36.27,36.01,36.24,36.24,1209648.0
